Actual_Words,Expected_Stem,Suraj_Algorithsm,Bimba_Algorithsm
ababen,ababe,ababe,ababe
abin,abin,abin,abin
abinci,abinci,abinci,abinci
abincin,abinci,abinci,abinci
abinda,abi,abi,abi
abokan,aboka,aboka,aboka
abokansa,aboka,aboka,aboka
aboki,aboki,aboki,aboki
abokin,aboki,aboki,aboki
abu,abu,abu,abu
abubuwa,abu,abu,abu
abubuwan,abu,abu,abu
abubuwanda,abubuwa,abu,abubuwa
abubuwane,abubuwane,abubuwane,abubuwane
adadin,adadi,adadi,adadi
adadinsu,adi,adi,adi
adana,adana,adana,adana
adanawa,adana,adana,adana
adawa,adawa,adawa,adawa
adawan,adawa,adawa,adawa
adawar,adawa,adawa,adawa
adawarsa,adawarsa,adawa,adawarsa
addabi,addabi,addabi,addabi
addinan,addi,addi,addi
addini,addini,addini,addini
addinin,addini,addini,addini
addreshin,addres,addres,addres
adireshin,adires,adires,adires
adireshinka,adires,adires,adires
adreshinka,adres,adres,adres
agaji,agaji,agaji,agaji
agajin,agaji,agaji,agaji
aika,aika,aika,aika
aikace,aikace,aikatu,aikace
aikacen,aikace,aikatu,aikace
aikata,aika,aika,aika
aikatawa,aikata,aikata,aikata
aike,aike,aike,aike
aiki,aiki,aiki,aiki
aikin,aiki,aiki,aiki
aiko,aiko,aiko,aiko
ainahin,ainahi,ainahi,ainahi
ainihin,ainihi,ainihi,ainihi
aji,aji,aji,aji
ajiyar,ajiya,ajiya,ajiya
ajiye,ajiye,ajiye,ajiye
akala,akala,akala,akala
akalar,akala,akala,akala
akalla,akalla,akalla,akalla
akan,akan,akan,akan
akanta,aka,aka,aka
Akwai,akwai,akwai,akwai
akwai,akwai,akwai,akwai
akwatin,akwati,akwati,akwati
akwatunan,akwata,akwata,akwata
alaka,alaka,alaka,alaka
alakar,alaka,alaka,alaka
alama,alama,alama,alama
alamar,alama,alama,alama
Alamomin,alami,alami,alami
alamu,alamu,alamu,alamu
alamun,alamu,alamu,alamu
alkali,alkali,alkali,alkali
alkalin,alkali,alkali,alkali
alkaluma,alkaluma,alkaluma,alkaluma
alkawarin,alka,alka,alka
alkawarinta,alkawara,alkawara,alkawara
amfani,amfani,amfani,amfani
amfanin,amfani,amfani,amfani
amince,amince,ami,amince
amincewa,amince,amince,amince
amincewar,amince,amince,amince
Amirka,amirka,ami,amirka
Amirkan,amirka,amirka,amirka
amurka,amurka,amu,amurka
Amurkan,amurka,amurka,amurka
Amurkawa,amurka,amurka,amurka
annoba,annoba,annoba,annoba
Annobar,annoba,annoba,annoba
arewa,arewa,arewa,arewa
arewacin,arewa,arewa,arewa
arziki,arziki,arziki,arziki
arzikin,arziki,arziki,arziki
asali,asali,asali,asali
asalin,asali,asali,asali
asibiti,asibiti,asibiti,asibiti
asibitin,asibiti,asibiti,asibiti
asiri,asiri,asiri,asiri
asirin,asiri,asiri,asiri
Askira,askira,askira,askira
Askirama,askirama,askirama,askirama
ayi,ayi,ayi,ayi
ayoyin,ayoyi,ayoyi,ayoyi
ayyana,ayya,ayya,ayya
ayyuka,a,a,a
ayyukan,a,a,a
ayyukanta,ayyuka,a,ayyuka
Baba,baba,baba,baba
baban,ba,ba,ba
Babangida,bangida,bangida,bangida
babba,babba,babba,babba
babbaka,baka,baka,baka
Babban,ba,ba,ba
babban,ba,ba,ba
baci,baci,baci,baci
bacin,baci,baci,baci
badakala,badakala,badakala,badakala
badakalar,badakala,badakala,badakala
baka,baka,baka,baka
bakaken,baka,baka,baka
baki,baki,baki,baki
bakin,bakin,bakin,bakin
bakinsu,baki,baki,baki
bakunci,ba,ba,ba
bakuncin,ba,ba,ba
bangare,bangare,bangare,bangare
bangaren,bangare,bangare,bangare
bangarori,bangara,bangara,bangara
bangarorin,bangaror,bangaror,bangaror
bankawa,banka,banka,banka
bankin,banki,banki,banki
barazana,baraza,baraza,baraza
barazanar,baraza,baraza,baraza
bari,bari,bari,bari
barikin,bari,bari,bari
barin,bari,bari,bari
bashi,bashi,bashi,bashi
bashin,bashi,bashi,bashi
batan,bata,bata,bata
batu,batu,batu,batu
batun,batu,batu,batu
batutuwa,batu,batu,batu
batutuwan,batu,batu,batu
